"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.049830316297558","0","2.1227775439483","1.38004934462267","0.340942887488212","0.340942887488212","","",
"Africa Western and Central","AFW","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.00554844304340783","0.00554844304340783","0.00554844304340783","0.00554844304340783","0.00554844304340783","0.00554844304340783","0.00554844304340783","0.00554844304340783","0.00554844304340783","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.2634423582802","40.0510689198201","24.7264779257463","57.6611417740173","23.6998947292577","23.6998947292577","","",
"Albania","ALB","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0253707260504","10.0253707260504","10.0253707260504","10.0253707260504","10.0253707260504","10.0253707260504","10.0253707260504","12.9314896175639","4.98620591779667","8.31141983483487","6.55991705774238","6.63984261704793","6.61385210879031","8.86666793876815","8.81059333750583","30.5457697175238","16.2735532179317","5.81666675571524","14.2678850053131","6.81942576829131","15.4208479956178","16.6749379342927","14.6909538260186","10.8098459937853","3.87132644220823","9.07477891395605","10.1886855480472","3.55658987481563","4.80493925313439","4.53238570977472","9.26370572357964","","",
"Andorra","AND","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.4252387082583","27.4252387082583","34.6773097942942","50.419037077143","50.419037077143","50.419037077143","50.419037077143","3.14643410329611","3.14643410329611","3.14643410329611","4.17235853497043","5.89714501651921","4.01339936047773","10.1931606000334","3.97361589926122","9.42625917009872","8.92353960773009","8.53079388555851","7.49315632607457","16.8690643513162","27.1081380512275","21.2101547245593","27.551265210175","21.1101536900204","21.4936485889223","15.3665229771759","21.6086916183822","20.4050514560378","18.815518089985","10.5527801327458","13.36184477005","","",
"Argentina","ARG","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.624433906023","23.624433906023","23.624433906023","28.9721843845314","30.0064176428577","30.4613965425461","31.7892949133981","37.4061607140626","38.0161924754791","33.0776248922843","36.1735505750926","36.675596387927","31.6596095090989","28.3221495363451","30.0268058598115","32.4409926697692","34.1910455645973","35.1651912466791","38.6198500322713","42.4397300152427","45.015518958527","46.4012614120794","46.7210113151297","49.6768773751444","49.1286769204","46.1270064970744","44.1184930023331","45.4234319753323","46.2427555472651","42.6965949741695","36.3836230452139","","",
"Armenia","ARM","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.171568371708","21.171568371708","21.171568371708","21.171568371708","21.171568371708","21.171568371708","21.171568371708","21.171568371708","21.171568371708","14.5687375689748","27.454877058329","20.316949208476","8.61757409611059","6.79088105271925","17.1305534868101","35.5442403710898","25.6997323503688","35.3501936939684","30.8681008383261","27.5033340857527","24.7981318960969","21.596227692268","16.8857682485427","15.4589372164394","15.2535239357442","10.3825280335833","10.7068893464023","13.2534152192988","14.7368317119264","15.2477862248699","12.3972303084465","","",
"American Samoa","ASM","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
