"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363755808.78006","1522141298.82589","1648407757.64168","1810796526.6006","2001192963.82248","2095198112.56924","2158860032.29515","2350843673.19238","2424658706.95207","2489269108.56888","2739557506.26564","2918819032.73677","2935918444.3107","3027419281.49456","3335031914.00273","3426372647.33396","3572323466.89337","3782481063.48052","3925705760.82351","3489264744.4361","3434705049.90498","3624109935.92049","3552128685.83428","3799583106.75231","3817112401.26825","3893364333.81628","3941567670.02688","4097906578.10494","4417064467.95204","4524856401.48574","3731795744.44467","4569092261.05915","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562754848839.101","582538851516.617","584698486205.803","597651091184.174","622103189874.856","663583594406.754","712994134315.883","756743769893.859","779401567982.319","812829711711.237","860197991571.217","911902650924.004","962534872974.799","1013755148014.05","1099686705943.48","1204832789235.93","1324823866468.72","1451831443163.34","1546975067208.26","1568637430294.02","1668949724286.72","1771396381940.81","1773172033288.61","1893724221523.31","2026241172510.49","2099348409966.93","2214085446808.51","2300198069463.57","2420342050881.65","2520984279426.47","2483411690402.77","2712088944666.67","3005193179840.29",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19805683002.2132","21980384805.7144","22889600503.965","26258419343.9137","28518821097.8215","33339216566.7178","35312296534.1449","43140533617.6219","49929490244.5478","51184181904.4289","59667003515.1962","65039839448.5561","69058343420.1602","71831696727.8086","70097956089.2877","74711922906.3738","77417896456.4508","81889326057.2078","81007485782.9604","67125058170.0878","",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361473924012.13","378467038418.067","397009076832.629","402260308250.383","410563938160.224","428231077950.976","456540600983.109","484630445712.203","507729851535.338","523136162568.061","554273616200.228","596251322888.947","662171174204.51","712448676349.116","789279578648.778","861377633019.425","935475826225.037","1012487642055.69","1096646527950.03","1170490991697.35","1265764793387.97","1355844784179.37","1432608601178.84","1530241371854.96","1648816528881.71","1666362021611.45","1680690458095.38","1746659814390.76","1842199923197.45","1938546923359.28","1948499059417.26","2118340678652.46","2352820572267.09",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38835439389.8242","40546779830.1018","39049622587.1717","30387804667.4003","31452407439.8341","36928723189.9361","42698219730.7192","46594068742.1501","49328898270.1625","51115326928.9188","53870124025.8162","57400615762.7073","66261666029.3691","69589731051.4179","79282432858.8008","94058409616.5689","108159616062.078","126645338867.987","143491912191.306","145653570414.884","153887405897.573","162538811659.181","186124222897.173","199865642365.2","220364785384.766","204603587403.35","204874675222.879","217987313632.158","220289370395.961","222666423233.882","212853789199.066","225084114192.846","248186786923.362",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8379849949.27799","6237344738.56104","5920987336.61097","6640762795.01695","7345719058.38832","8498893387.28002","9442065336.5516","8556035107.52073","9451851026.38818","10792578624.9517","11927761911.8775","13159425507.3736","14221986237.4723","15198978664.5557","16429520004.5125","17663248665.0743","19647966457.1019","21634098448.2042","24251544638.4109","25801737771.9275","28048430849.0874","29655531730.521","30530346334.9125","30603919227.8496","32529299302.5043","33585813506.4664","34739846844.6737","36696895966.9462","38690872399.9077","41121578859.7201","39911617919.4999","43672781505.2677","51492775018.5107",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1507580009352.95","1677123014020.61","1799758509997.05","1894828339542.4","1989953614896.4","2084593900291.22","2219833311953.47","2357652039140.92","2516251039183.33","2603134800056.88","2841196647123.48","2952144322010.89","3006523095650.11","3194146192633.55","3583949175173.54","3896152206710.42","4250199845804.65","4555749971636.08","4904865671557.9","4953457574381","5245596555550.49","5582567668935.46","6068162812789.26","6179530280801.1","6217741378603.98","5750111786083.79","5691698461955.12","6072114248359.9","6387262626407.34","6607498752577.87","6388384775378.88","6924169621032.25","7859519406835.71",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159314787215.211","166119009339.021","175587931543.462","182016952057.707","198723986397.79","216460152922.28","233204512137.043","256655715882.035","260302316086.279","271631571827.219","307932754817.313","319275636775.497","332142171598.234","368504523749.508","414595768291.327","448357188727.353","507658889400.053","537981231670.507","565800168718.231","539572094916.704","554809096078.695","605575110357.323","648603907769.107","664072628841.012","696795047329.33","621558729951.006","619289363587.993","645502807643.102","669706320998.707","689276222149.102","663657027501.023","720632244510.198","828262611787.266",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234455344931.543","264521270370.093","292023773373.283","323480141867.088","349669909411.917","346844681084.361","372715304230.914","409894951069.898","430467771287.181","421755390917.54","427907425395.381","418257187040.516","378498715336.167","420076980476.696","470302946671.598","527985868655.93","588076130259.074","658372466794.536","698223627731.022","661109513023.278","736799121185.705","797263881242.037","819697901873.041","849616000404.317","839896688260.086","867176759338.262","885227528869.049","1039330591568.54","1036459320093.75","1033942542333.22","943285699872.58","1088157531055.78","1225435238852.27",
