"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","480446.927374302","458100.558659218","1564245.81005587","3391061.45251397","4217877.09497207","4547486.03351955","6771959.27880357","10347511.9994435","9832402.23463687","11955307.2625698","13184357.5418994","14748603.3519553","10558659.2178771","9720670.39106145","8645172.62569832","10903194.972067","13810224.5810056","","","16533453.287263","16848539.3339724","10210598.3145219","12319999.116496","14197498.4744828",
"Africa Eastern and Southern","AFE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","5599997.76224089","5599997.76224089","8399996.64336134","15399993.8461625","15399993.8461625","26599989.3706442","26599989.3706442","32199987.1328851","37799984.895126","39199984.3356862","46199981.5384874","47527375.6763246","63773980.2137103","78078851.9005019","72148373.0902195","107043108.038023","111424412.832397","147872278.821728","181309089.76823","177728123.571667","220288726.280588","234429968.226397","212926712.018452","220912474.528507","173752336.219322","126039179.160406","134591645.837634","189284510.541473","179288967.013878","162062975.153806","167274402.486613","209382301.388228","180139306.880349","260238512.710708","236955019.516439","393810107.268975","383757638.537913","386585738.585637","343401984.91352","329550880.441077","396369882.141538","458714373.790437","587668403.787097","762155199.05751","1066498399.69093","1260750199.58289","1460852924.74055","1836130528.41984","1913592059.92824","1912270943.60864","2068158357.13598","2218812932.79466","2366000693.41856","2379213510.25123","2368730261.33278","2256460184.69738","2394607870.65437","2552763140.71723","2161661760.55854","1787646004.50884","1671894738.807","1895894901.42144","1720255710.72539",
"Afghanistan","AFG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","308406.5","94761.12","27577849.86","47084262.04","10738034.5335198","10944020.3116408","107890.10906887","242475.541833949","36802.95","180660.399927953","2402430.87491251","4778790.72133592","6111813.8157338","","",
"Africa Western and Central","AFW","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","124634.060047143","139982.240696829","125549.01839404","122110.217654769","221576.341727446","3071440.95410797","58650568.4202093","85049182.9408369","30592773.9154916","14479603.20155","3249268.7707697","2660288.72814196","4111132.78287049","1466785.37753345","2529399.87322228","1252353.30427846","919342.173835729","1225449.50513456","3766087.24335112","4803075.61950148","1723322.2080514","1787869.35177278","4450062.87347925","8642808.0943644","7558945.356209","11836951.4148913","12565896.594549","8571818.72508944","7642540.62719767","56895380.2244889","15260467.6896756","105306761.340253","115950984.454925","219481160.740204","247502232.858802","262738120.496683","266899774.002394","251239858.934063","283984358.688477","278039100.438778","289056236.188106","276882578.310601","273617352.791183","278307224.628641","332642747.646662","500983672.425446","436502606.056328","518136175.423754","254051734.022154",
"Angola","AGO","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","290000","1170000","1660000","5630000","430000","","","2495000","3378446.38","1366548.48","1173129.46","470000","20000","6378100","3185000","224315044.600047","212220137.27","252852819.11","264702200","212229720","221726875.72","246614994.79","127168951.47","129608227.29","121666360","222726990",
"Albania","ALB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8358857.12","4942627.61","4204267.36202606","6768509.00807782","11850000","12517993.9317725","14487498.7588023","12138446.109668","12703928.1780979","23362460.0492865","22607333.7766244","21881927.417607","24578013.7488837","23163082.2844536","13132426.9115916","26412466.5010989","34784215.26461","38609323.641355","34763724.472583","31727566.8165585",
"Andorra","AND","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264666.163607838","482661.270612958","596311.549435029","",
"Arab World","ARB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","22702105.810987","28737501.5975307","36049633.6548443","31260717.8831877","32085875.0973955","37093976.8608406","26485775.7963853","15419081.4442301","13137491.9966205","13995057.6784789","12820700.8245249","16468463.0198058","21597085.5876159","44407963.1465493","51716893.2480532","62048627.9217175","61495810.2049798","68243385.7993208","78748999.7879266","609512999.112863","224169818.359078","176057689.862944","491829384.014848","566753377.636297","532460827.801471","423152345.967249","402587709.238495","220064041.934977","210484830.340776","164739257.323495","289649778.388442","264755627.288143","513265852.821225","385879185.751437","392258199.623047","435296352.405628","422359090.712274","590060804.170495","611288303.496562","570922126.010764","637828488.803832","728556130.762444","601386272.489033","647807315.750691","669028245.492478","635735619.464593","762787898.109103","301703037.644945",
"United Arab Emirates","ARE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","39000000","54000000","71000000","69000000","101000000","254000000","363000000","524000000","446000000","420000000","420000000","280000000","288000000","403000000","409000000","420000000","284000000","319800000","376700000","392000000","482004066.218091","544377042.635738","590352559.088508","582160100.056829","580337544.850569","564137635.39202","351280000","402950000","520630000","650640000","894824121.747904","1174682409.95912","1531726727.27288","1526895360.76094","1712212409.7066","2079139111.3222","2216992899.83386","2329270062.45138","2098996165.63338","2178066123.6149","2108388364.21439","2350351644.7677","2054243292.96211","1688980858.85513","1149104742.16619","1397946195.96373","1706885414.8243",
