Country Name,Country Code,Year,ATM Usage,GDP,High Tech Export ($M),High Tech Import,Internet Subscription Per 100,Internet Usage Per 100,IP Income($M),Labour Force (M),Med_High Tech Manufacturing,Mobile Sub Per 100,Personal Remittance ($M),Poverty Count,Stock Traded $B,Tech Cooperation Grant($M),Unemployment Rate,Med High Tech Export
Argentina,ARG,2010,13.86,9.84,1686.22,33.65,9.8,45.0,1531.73,18.32,26.18,138.89,628.54,0.7,0.45,71.88,8.65,45.02
Australia,AUS,2010,154.32,0.63,4554.4,25.79,25.02,76.0,3012.86,11.47,27.82,102.18,1334.65,0.3,90.62,0.0,5.56,19.94
Austria,AUT,2010,112.34,1.59,15801.88,35.94,24.52,75.17,2092.66,4.29,43.78,146.37,3101.68,0.5,12.82,0.0,5.3,59.97
Bangladesh,BGD,2010,1.29,4.37,37.56,19.5,0.28,3.7,21.92,55.76,9.14,45.77,10520.65,18.2,2.28,196.45,5.0,2.14
Belgium,BEL,2010,87.37,1.93,18056.97,41.87,31.01,75.0,2023.02,4.8,34.39,111.73,11090.65,0.1,25.5,0.0,7.91,50.62
Brazil,BRA,2010,114.39,6.52,8821.37,44.63,7.18,40.65,2697.17,95.7,36.15,100.29,2889.16,3.94,42.46,230.9,9.42,36.39
Bulgaria,BGR,2010,87.82,2.21,852.62,34.39,14.81,46.23,95.19,3.41,24.7,134.35,1591.79,2.0,0.94,0.0,6.82,35.4
Canada,CAN,2010,216.26,1.95,26566.35,37.15,31.85,80.3,8923.45,18.79,35.73,76.04,1196.44,0.2,96.96,0.0,8.34,55.72
Chile,CHL,2010,57.81,4.79,541.75,25.75,10.52,45.0,538.62,7.67,20.32,116.75,51.94,0.25,21.61,68.74,11.31,11.65
China,CHN,2010,19.89,10.1,474347.23,35.23,9.37,34.3,10319.47,775.6,41.38,63.72,9209.49,13.9,153.49,929.54,4.72,60.52
Colombia,COL,2010,28.67,3.32,451.12,30.78,5.9,36.5,470.86,21.26,24.95,99.24,4124.86,8.3,8.54,273.77,11.32,35.97
Costa Rica,CRI,2010,41.49,4.01,2203.39,16.11,8.57,36.5,86.39,2.1,19.28,67.68,513.09,1.5,0.1,30.03,7.71,58.94
Cote d'Ivoire,CIV,2010,1.96,4.61,70.49,28.43,0.46,2.7,21.25,7.48,14.99,73.86,316.35,4.07,0.71,58.73,6.6,32.52
Croatia,HRV,2010,99.01,-1.0,817.14,53.04,19.18,56.55,258.62,1.93,28.96,112.81,2268.83,1.2,2.36,44.68,9.2,49.46
Cyprus,CYP,2010,69.86,-0.36,143.94,22.14,23.15,52.99,70.97,0.58,13.95,123.13,593.41,0.04,6.79,0.0,5.36,60.43
Egypt, Arab Rep.,2010,6.48,2.65,84.12,36.44,1.26,20.0,240.6,26.49,24.26,64.74,8694.0,0.62,58.86,156.66,8.52,27.59
France,FRA,2010,104.14,1.45,105238.74,48.13,34.17,77.28,10435.07,29.92,45.45,92.54,19665.37,0.1,47.54,0.0,8.74,65.77
Germany,DEU,2010,112.32,4.34,179569.6,37.15,32.17,82.0,8632.84,41.98,59.08,108.7,12344.79,0.02,52.41,0.0,7.74,72.11
Ghana,GHA,2010,3.83,5.27,9.15,25.16,0.2,7.8,4.08,10.83,4.35,68.18,114.46,4.63,0.2,108.91,5.24,24.99
Greece,GRC,2010,80.24,-5.6,1293.77,23.13,20.42,44.4,713.44,5.07,14.71,111.41,2022.13,1.0,17.9,0.0,9.62,29.15
Hungary,HUN,2010,55.73,1.3,20245.77,61.19,21.62,65.0,2596.03,4.27,54.63,120.28,1575.17,0.1,20.76,0.0,10.03,77.63
India,IND,2010,5.29,7.01,10659.47,34.57,0.89,7.5,1528.83,459.17,38.13,60.63,49203.91,8.53,78.3,266.04,8.38,28.24
Indonesia,IDN,2010,14.12,4.9,7056.09,37.17,0.93,10.92,1327.68,114.48,39.68,86.59,6792.91,18.3,15.95,468.47,6.11,29.05
Ireland,IRL,2010,94.39,1.13,23344.0,70.68,22.54,69.85,35450.51,2.3,61.69,103.91,573.24,0.5,4.18,0.0,12.61,53.73
Israel,ISR,2010,101.24,3.76,10584.45,43.88,24.04,67.5,908.3,3.4,61.97,124.32,507.0,0.2,37.53,0.0,9.53,55.79
Italy,ITA,2010,106.98,1.4,29262.02,47.57,21.89,53.68,7233.85,24.61,41.11,156.57,7041.29,1.3,42.13,0.0,7.75,53.93
Japan,JPN,2010,132.81,4.08,129808.09,47.52,26.62,78.21,18311.54,66.46,53.7,96.24,1594.53,0.06,73.13,0.0,5.07,79.75
Kazakhstan,KAZ,2010,56.87,5.79,2364.74,69.27,5.23,31.6,86.66,8.64,12.75,116.69,198.2,0.2,3.7,59.12,6.55,37.19
Kenya,KEN,2010,7.18,5.06,117.84,33.93,0.02,7.2,28.44,16.79,10.79,60.14,631.46,2.67,0.47,122.18,2.92,24.93
Korea, Rep.,2010,241.8,0.28,103492.16,37.13,33.65,81.6,5334.4,25.07,55.31,98.67,6978.1,0.1,113.36,0.0,2.96,75.8
Luxembourg,LUX,2010,107.06,1.88,962.86,17.67,33.2,90.62,423.29,0.24,7.58,143.37,1676.28,0.13,0.52,0.0,5.12,38.04
Malaysia,MYS,2010,47.03,5.55,65670.15,39.2,7.3,56.3,1267.78,12.18,40.7,117.9,1130.87,0.01,39.97,45.93,3.66,63.49
Malta,MLT,2010,48.71,5.03,1185.08,46.96,30.06,63.0,890.1,0.17,19.16,108.79,259.9,0.2,0.42,0.0,6.89,56.16
Mauritius,MUS,2010,39.51,4.13,6.21,33.35,7.32,28.33,5.85,0.56,2.67,92.8,0.66,0.05,3.73,23.9,7.26,2.93
Mexico,MEX,2010,42.91,3.73,49221.0,25.08,9.4,31.05,2393.94,46.93,36.89,81.21,22075.73,4.5,8.62,146.39,5.36,78.71
Montenegro,MNE,2010,60.05,2.55,8.63,47.93,10.25,37.5,11.28,0.24,16.26,185.41,303.17,1.59,0.35,20.18,19.09,31.85
Morocco,MAR,2010,18.24,2.43,414.85,40.82,1.56,52.0,15.36,11.36,28.07,98.88,6269.12,0.13,7.82,323.13,8.96,38.26
Namibia,NAM,2010,42.0,4.46,50.43,21.16,0.45,11.6,15.28,0.73,7.45,92.89,76.51,1.42,0.28,43.09,22.29,14.34
Netherlands,NLD,2010,62.52,0.82,77485.43,66.23,38.09,90.72,36253.04,8.91,45.62,115.42,1713.13,0.08,62.2,0.0,4.35,55.01
Nigeria,NGA,2010,11.46,5.08,63.08,41.08,0.06,11.5,190.28,52.75,33.44,54.24,18370.8,34.9,1.52,218.32,3.76,7.47
Norway,NOR,2010,57.6,-0.46,4943.7,34.06,35.24,93.39,459.85,2.6,32.54,114.51,631.47,0.2,53.53,0.0,3.1,52.21
Pakistan,PAK,2010,3.9,-0.66,268.28,42.47,0.41,8.0,117.0,58.05,23.99,51.01,8717.0,9.4,10.46,153.28,0.54,9.95
Panama,PAN,2010,38.39,3.95,0.7,14.27,7.13,40.1,59.4,1.61,6.52,183.42,337.0,3.4,0.12,19.32,6.01,15.0
Peru,PER,2010,23.87,7.52,267.47,27.59,3.19,34.77,159.48,15.92,12.87,99.61,2408.7,6.8,2.45,173.99,3.96,5.25
Philippines,PHL,2010,14.01,5.42,12557.11,20.57,3.15,25.0,387.3,37.17,37.06,87.86,19959.51,1.85,8.14,187.78,3.86,73.13
Poland,POL,2010,48.69,3.23,9586.5,42.78,15.18,62.32,1773.0,17.84,35.88,121.65,10214.0,0.3,12.88,0.0,8.17,58.14
Portugal,PRT,2010,192.0,1.69,1498.65,37.28,20.09,53.3,534.83,5.49,23.96,115.32,598.19,0.1,18.3,0.0,9.43,39.59
Romania,ROU,2010,56.51,-3.33,4856.81,41.27,14.76,39.93,345.93,9.34,35.24,119.79,682.46,4.2,0.95,0.0,6.86,54.69
Russian Federation,RUS,2010,72.43,4.45,5263.18,44.86,10.94,49.0,4480.51,75.96,25.04,165.66,5105.06,0.1,41.74,0.0,8.3,24.02
Serbia,SRB,2010,45.12,1.14,309.44,38.58,11.8,40.9,194.76,3.19,18.64,136.02,4649.88,3.93,1.51,111.34,16.14,32.82
Slovak Republic,SVK,2010,50.08,6.62,4113.19,36.49,16.25,75.71,220.25,2.68,45.75,109.8,1672.29,0.5,0.2,0.0,12.03,66.13
South Africa,ZAF,2010,50.93,1.82,2504.73,24.63,1.43,24.0,1675.9,21.09,23.0,97.27,862.05,18.0,65.96,186.03,20.51,45.72
Spain,ESP,2010,152.1,-0.3,11504.35,19.34,22.87,65.8,2746.13,23.36,34.73,110.34,1524.56,0.7,85.69,0.0,17.86,56.94
Thailand,THA,2010,73.36,6.79,37178.17,34.2,4.76,22.4,2567.13,39.61,43.84,105.06,3808.0,0.3,44.95,104.68,1.49,61.82
